Season,Circuit,Constructor,Laps,TotalPitStops,AvgPitStopTime,FirstPitLap,LastPitLap,FastestStop,SlowestStop,Top10
2011,0,17,0.6588235294117647,0.2,-0.07225806451613005,0.20634920634920634,0.4545454545454546,-0.2746124837973112,-0.28868867408337656,1
2011,0,13,0.6588235294117647,0.2,-0.1011884550084907,0.23809523809523808,0.4545454545454546,-0.09820716702695942,-0.4632619862418262,1
2011,0,18,0.6588235294117647,0.2,0.4138539898132519,0.23809523809523808,0.4545454545454546,0.2972248853307414,0.06671583163351587,1
2011,0,5,0.6588235294117647,0.4000000000000001,0.1275382003395612,0.1746031746031746,0.5324675324675325,-0.08281609912082147,-0.13828373146973116,1
2011,0,17,0.6588235294117647,0.4000000000000001,0.1285342388228482,0.15873015873015872,0.5194805194805195,-0.29917899603210907,0.1847524221782278,1
2011,0,13,0.6588235294117647,0.4000000000000001,-0.7158347481607479,0.25396825396825395,0.4675324675324676,-1.972365666674388,-0.44686202119356633,1
2011,0,5,0.6588235294117647,0.4000000000000001,0.1521675155630863,0.19047619047619047,0.6103896103896104,0.09210930727393934,-0.18856257168347507,1
2011,0,20,0.6470588235294117,0.2,0.1726315789473721,0.2222222222222222,0.36363636363636365,-0.12750939246364543,-0.00686822206986046,1
2011,0,6,0.6470588235294117,0.2,0.363735144312401,0.23809523809523808,0.4675324675324676,0.10069278745236249,0.1303735907024193,1
2011,0,6,0.6470588235294117,0.2,0.27490662139219596,0.20634920634920634,0.4545454545454546,0.23714052408177946,-0.11023115967665545,1
2011,0,20,0.6470588235294117,0.4000000000000001,0.6295415959253099,0.0,0.4415584415584416,0.27591417592224277,0.32889948339187935,0
2011,0,18,0.6470588235294117,0.2,0.12509337860781233,0.2222222222222222,0.37662337662337664,-0.15888349242615815,-0.059520741435326,0
2011,0,9,0.6352941176470588,0.2,0.3498811544991584,0.23809523809523808,0.4675324675324676,0.3898672748426875,-0.10246275518011104,0
2011,0,21,0.6117647058823529,0.2,0.6158234295416085,0.20634920634920634,0.48051948051948057,0.5115159077162023,0.23136284915749264,0
2011,0,21,0.5529411764705882,0.0,0.056095076400680795,0.2698412698412698,0.2207792207792208,0.0773102035180382,-0.34134119344884206,0
2011,0,22,0.5411764705882353,0.6000000000000001,0.7034295415959401,0.19047619047619047,0.5064935064935066,-1.9649661147964375,2.693515496534388,0
2011,0,14,0.2352941176470588,0.0,0.035449915110357645,0.23809523809523808,0.19480519480519481,0.05481556580906702,-0.357741158497102,0
2011,0,9,0.19999999999999998,0.0,0.3475721561969508,0.25396825396825395,0.2077922077922078,0.39489897011969405,-0.1097995816490699,0
2011,0,14,0.19999999999999998,0.2,0.24964346349745858,0.0,0.2077922077922078,0.1353226902411734,-0.07613649549737828,0
2011,0,19,0.6588235294117647,0.2,0.14736842105263473,0.23809523809523808,0.4025974025974026,0.15781732795014458,-0.25502558793168567,0
2011,0,19,0.6588235294117647,0.0,-0.04006791171477186,0.3492063492063492,0.28571428571428575,-0.027467451073748723,-0.41773050433152636,0
2011,28,17,0.6352941176470588,0.4000000000000001,-0.3197736276174464,0.19047619047619047,0.5194805194805195,-0.48475975713111974,-0.5081461011107481,1
2011,28,13,0.6352941176470588,0.4000000000000001,-0.3080928126768691,0.19047619047619047,0.48051948051948057,-0.33469684504627417,-0.6238090125037377,1
2011,28,18,0.6352941176470588,0.4000000000000001,-0.09358234295416153,0.19047619047619047,0.49350649350649356,-0.2749084658724296,-0.3180359799592104,1
2011,28,17,0.6352941176470588,0.6000000000000001,-0.37684210526316514,0.14285714285714285,0.5454545454545455,-0.45575351376955214,-0.6046037902761706,1
2011,28,5,0.6352941176470588,0.4000000000000001,0.3532767402376982,0.19047619047619047,0.48051948051948057,-0.29296337245463,0.8308247294741457,1
2011,28,5,0.6352941176470588,0.6000000000000001,0.25113752122241656,0.20634920634920634,0.5844155844155845,-0.11211832455750748,0.39018356330906034,1
2011,28,19,0.6352941176470588,0.2,-0.06098471986417757,0.25396825396825395,0.4545454545454546,-0.07423261894239834,-0.4168673482763545,1
2011,28,13,0.6352941176470588,0.6000000000000001,-0.09039049235993417,0.1746031746031746,0.6623376623376623,-0.3151620280884828,0.001763338481855794,1
2011,28,14,0.6352941176470588,0.4000000000000001,-0.33435200905492046,0.20634920634920634,0.5324675324675325,-0.3859017440416945,-0.6037406342209987,1
2011,28,6,0.6352941176470588,0.4000000000000001,-0.14374646293153454,0.15873015873015872,0.4675324675324676,-0.3290731856190308,-0.3014202258971574,1
2011,28,6,0.6235294117647059,0.4000000000000001,0.5010526315789307,0.031746031746031744,0.4025974025974026,-0.43947449963806,1.3638235935425882,0
2011,28,14,0.6235294117647059,0.4000000000000001,-0.062161856253555935,0.2222222222222222,0.5064935064935066,-0.29740310358140076,-0.08778910224219487,0
2011,28,20,0.6235294117647059,0.4000000000000001,0.8878777589134308,0.2222222222222222,0.4025974025974026,-0.07423261894239834,0.9643981290119457,0
2011,28,20,0.6235294117647059,0.2,-0.09494057724957725,0.23809523809523808,0.4025974025974026,-0.1902575923886698,-0.38622530831776397,0
2011,28,9,0.6235294117647059,0.2,0.712937181663852,0.2222222222222222,0.4285714285714286,-0.05765762273578888,0.8006142675431407,0
2011,28,21,0.6117647058823529,0.2,0.2546689303904976,0.25396825396825395,0.4285714285714286,0.26585078536822865,-0.16331525706970654,0
2011,28,18,0.5882352941176471,0.4000000000000001,0.3440407470288698,0.2222222222222222,0.5584415584415585,-0.25182186401322265,0.7164565521639128,0
